game_date,team_name,season,team_points,team_fg_percentage,team_ft_percentage,team_3pt_percentage,team_assists,team_rebounds,team_win
12/21/2022,Lakers,2022,120,0.5,0.833,0.458,25,39,0
12/19/2022,Lakers,2022,104,0.448,0.824,0.429,13,38,0
12/11/2022,Lakers,2022,124,0.548,0.778,0.423,31,42,1
12/9/2022,Lakers,2022,122,0.5,0.767,0.355,29,37,0
12/7/2022,Lakers,2022,113,0.425,0.914,0.212,16,46,0
12/6/2022,Lakers,2022,102,0.427,0.833,0.167,16,43,0
12/4/2022,Lakers,2022,130,0.542,0.727,0.385,34,51,1
12/2/2022,Lakers,2022,133,0.542,0.75,0.423,32,44,1
11/26/2022,Lakers,2022,143,0.58,0.865,0.515,25,39,1
11/25/2022,Lakers,2022,105,0.482,0.85,0.296,28,49,1
11/22/2022,Lakers,2022,105,0.424,0.829,0.182,19,45,0
11/9/2022,Lakers,2022,101,0.455,0.647,0.313,26,43,0
11/7/2022,Lakers,2022,116,0.488,0.9,0.375,15,33,0
10/28/2022,Lakers,2022,102,0.416,0.704,0.31,20,55,0
10/26/2022,Lakers,2022,99,0.444,0.688,0.267,25,47,0
10/18/2022,Lakers,2022,109,0.426,0.76,0.25,23,48,0
10/14/2022,Lakers,2022,86,0.358,0.645,0.242,18,37,0
10/9/2022,Lakers,2022,124,0.5,0.944,0.436,24,38,1
12/18/2022,Lakers,2022,119,0.5,0.727,0.407,29,43,1
12/16/2022,Lakers,2022,126,0.527,0.75,0.364,29,45,1
12/13/2022,Lakers,2022,118,0.473,0.733,0.276,23,49,0
11/30/2022,Lakers,2022,128,0.495,0.692,0.378,28,48,1
11/28/2022,Lakers,2022,115,0.43,0.774,0.355,23,57,0
11/20/2022,Lakers,2022,123,0.529,0.875,0.353,29,54,1
11/18/2022,Lakers,2022,128,0.551,0.875,0.35,29,44,1
11/13/2022,Lakers,2022,116,0.484,0.85,0.407,25,45,1
11/11/2022,Lakers,2022,114,0.477,0.769,0.4,22,41,0
11/6/2022,Lakers,2022,100,0.46,0.571,0.296,24,43,0
11/4/2022,Lakers,2022,116,0.482,0.893,0.423,22,40,0
11/2/2022,Lakers,2022,120,0.459,0.87,0.278,30,56,1
10/30/2022,Lakers,2022,121,0.479,0.8,0.433,24,51,1
10/23/2022,Lakers,2022,104,0.446,0.8,0.182,26,40,0
10/20/2022,Lakers,2022,97,0.351,0.846,0.2,23,38,0
10/12/2022,Lakers,2022,113,0.446,0.784,0.256,26,52,0
10/6/2022,Lakers,2022,99,0.34,0.733,0.224,23,54,0
10/5/2022,Lakers,2022,115,0.427,0.727,0.317,26,47,0
10/3/2022,Lakers,2022,75,0.312,0.625,0.233,17,49,0
4/10/2022,Lakers,2021,146,0.468,0.894,0.372,26,50,1
4/7/2022,Lakers,2021,112,0.446,0.763,0.281,14,42,0
4/5/2022,Lakers,2021,110,0.453,0.767,0.31,22,46,0
3/31/2022,Lakers,2021,109,0.494,0.714,0.28,18,40,0
3/29/2022,Lakers,2021,110,0.449,0.818,0.273,20,48,0
3/27/2022,Lakers,2021,108,0.525,0.625,0.4,26,39,0
3/21/2022,Lakers,2021,131,0.564,0.813,0.375,34,41,1
3/19/2022,Lakers,2021,119,0.527,0.909,0.371,25,41,0
3/18/2022,Lakers,2021,128,0.49,0.714,0.442,33,43,1
3/16/2022,Lakers,2021,104,0.419,0.696,0.227,23,38,0
3/13/2022,Lakers,2021,111,0.444,0.742,0.4,24,37,0
3/9/2022,Lakers,2021,130,0.465,0.692,0.383,25,48,0
3/7/2022,Lakers,2021,110,0.473,0.696,0.308,19,43,0
3/3/2022,Lakers,2021,111,0.488,0.773,0.343,26,36,0
2/12/2022,Lakers,2021,115,0.466,0.667,0.407,25,48,0
2/9/2022,Lakers,2021,105,0.554,0.462,0.459,29,38,0
2/3/2022,Lakers,2021,110,0.466,0.68,0.379,19,44,0
1/30/2022,Lakers,2021,121,0.54,0.522,0.429,29,38,0
1/28/2022,Lakers,2021,114,0.418,0.719,0.375,19,44,0
1/27/2022,Lakers,2021,87,0.409,1,0.207,19,42,0
1/25/2022,Lakers,2021,106,0.472,1,0.316,23,33,1
1/23/2022,Lakers,2021,107,0.456,0.8,0.275,20,38,0
1/21/2022,Lakers,2021,116,0.494,0.826,0.433,23,45,1
1/15/2022,Lakers,2021,96,0.439,0.737,0.333,21,41,0
1/12/2022,Lakers,2021,116,0.429,0.667,0.34,25,45,0
12/29/2021,Lakers,2021,99,0.453,0.75,0.366,24,39,0
